word,pronunciation,meaning1,meaning2,meaning3
accomplish,/əˈkʌmplɪʃ/,hoàn thành,đạt được,thực hiện thành công
adapt,/əˈdæpt/,thích nghi,điều chỉnh,cải biên
ambiguous,/æmˈbɪɡjuəs/,mơ hồ,không rõ ràng,hiểu theo nhiều cách
anticipate,/ænˈtɪsɪpeɪt/,dự đoán,mong đợi,lường trước
approach,/əˈprəʊtʃ/,cách tiếp cận,tiến đến gần,phương pháp
assume,/əˈsjuːm/,giả định,cho rằng,đảm nhận trách nhiệm
circumstance,/ˈsɜːkəmstæns/,hoàn cảnh,tình huống,điều kiện
compensate,/ˈkɒmpenseɪt/,bồi thường,bù đắp,đền bù
contradict,/ˌkɒntrəˈdɪkt/,mâu thuẫn với,phản bác,trái ngược
cooperate,/kəʊˈɒpəreɪt/,hợp tác,phối hợp,cộng tác
controversial,/ˌkɒntrəˈvɜːʃəl/,gây tranh cãi,gây tranh luận,còn nhiều ý kiến trái chiều
declare,/dɪˈkleə/,tuyên bố,khai báo,công bố
diminish,/dɪˈmɪnɪʃ/,giảm bớt,suy giảm,làm nhỏ đi
eliminate,/ɪˈlɪmɪneɪt/,loại bỏ,xóa bỏ,tiêu diệt
emphasize,/ˈemfəsaɪz/,nhấn mạnh,chú trọng,đề cao
enhance,/ɪnˈhɑːns/,nâng cao,cải thiện,tăng cường
establish,/ɪˈstæblɪʃ/,thành lập,thiết lập,xác lập
evaluate,/ɪˈvæljueɪt/,đánh giá,thẩm định,xem xét
exaggerate,/ɪɡˈzædʒəreɪt/,phóng đại,thổi phồng,nói quá
facilitate,/fəˈsɪlɪteɪt/,tạo điều kiện thuận lợi,hỗ trợ,làm cho dễ dàng
fundamental,/ˌfʌndəˈmentl/,cơ bản,nền tảng,thiết yếu
hesitate,/ˈhezɪteɪt/,do dự,ngập ngừng,lưỡng lự
identify,/aɪˈdentɪfaɪ/,xác định,nhận diện,nhận ra
illustrate,/ˈɪləstreɪt/,minh họa,làm rõ,giải thích bằng ví dụ
implement,/ˈɪmplɪment/,thực hiện,triển khai,áp dụng
inevitable,/ɪnˈevɪtəbl/,không thể tránh khỏi,tất yếu,chắc chắn xảy ra
