word,pronunciation,meaning1,meaning2,meaning3
aggregate,/ˈæɡrɪɡət/,tổng hợp,tổng số,gộp lại
ambiguity,/ˌæmbɪˈɡjuːəti/,sự mơ hồ,sự không rõ ràng,tính đa nghĩa
arbitrary,/ˈɑːrbɪtreri/,tùy tiện,độc đoán,ngẫu hứng
coherent,/koʊˈhɪərənt/,mạch lạc,nhất quán,có logic
compelling,/kəmˈpelɪŋ/,thuyết phục,hấp dẫn,khó cưỡng lại
comprehensive,/ˌkɒmprɪˈhensɪv/,toàn diện,bao quát,đầy đủ
contemplate,/ˈkɒntəmpleɪt/,suy ngẫm,cân nhắc,trầm tư
discrepancy,/dɪˈskrepənsi/,sự khác biệt,sự mâu thuẫn,sự chênh lệch
distinguish,/dɪˈstɪŋɡwɪʃ/,phân biệt,phân định,nhận biết khác nhau
elaborate,/ɪˈlæbəreɪt/,trình bày chi tiết,diễn giải kỹ,làm rõ thêm
empirical,/ɪmˈpɪrɪkl/,thực nghiệm,dựa trên bằng chứng,thực chứng
explicit,/ɪkˈsplɪsɪt/,rõ ràng,minh bạch,tường minh
implicit,/ɪmˈplɪsɪt/,ngầm hiểu,hàm ý,ẩn ý
inherent,/ɪnˈhɪərənt/,vốn có,cố hữu,bẩm sinh
innovative,/ˈɪnəveɪtɪv/,sáng tạo,đổi mới,cách tân
integral,/ˈɪntɪɡrəl/,thiết yếu,không thể tách rời,cấu thành
intrinsic,/ɪnˈtrɪnsɪk/,vốn có,nội tại,bản chất
notion,/ˈnoʊʃn/,khái niệm,quan niệm,ý niệm
paradox,/ˈpærədɒks/,nghịch lý,điều mâu thuẫn,sự trái ngược
plausible,/ˈplɔːzəbl/,hợp lý,có vẻ đúng,đáng tin
presumably,/prɪˈzuːməbli/,có lẽ,giả sử là,chắc là
rigorous,/ˈrɪɡərəs/,nghiêm ngặt,chặt chẽ,khắt khe
scrutinize,/ˈskruːtənaɪz/,xem xét kỹ lưỡng,soi xét,rà soát
skeptical,/ˈskeptɪkl/,hoài nghi,nghi ngờ,không tin ngay
subsequent,/ˈsʌbsɪkwənt/,tiếp theo,sau đó,kế tiếp
substantial,/səbˈstænʃl/,đáng kể,to lớn,quan trọng
underlying,/ˌʌndərˈlaɪɪŋ/,tiềm ẩn,cơ bản,sâu xa
unprecedented,/ʌnˈpresɪdentɪd/,chưa từng có,chưa có tiền lệ,chưa từng xảy ra
viable,/ˈvaɪəbl/,khả thi,có thể thực hiện,khả dụng
volatile,/ˈvɒlətaɪl/,biến động,dễ thay đổi,bất ổn
premises,,"ngôi nhà hoặc các toà nhà khác có nhà phụ, đất đai...; cơ ngơi",business premises,cơ ngơi kinh doanh
isolated,'aisəleitid,cô lập,(y học) cách ly,(điện học) cách
disposed,,sẵn sàng,có khuynh hướng tình cảm,
compelled,,"bị ép buộc, bị cưỡng bách",,
polymer,'pɔlimə,"(hoá học) chất trùng hợp,  polime",,
dwelling,'dweliɳ,"sự ở, sự ngụ ở; chỗ ở, nhà ở","sự dừng lại (ở...), sự chăm chú (vào...); sự nhấn lâu (vào...), sự day đi day lại (một vấn đề gì...)",sự đứng chững lại (trước khi vượt rào) (ngựa...)
welding,'weldi,sự hàn; kỹ thuật hàn,,
diminished,di'miniʃt,"bị bớt đi, được giảm đi; được giảm bớt; được thu nhỏ",che giấu cái quyền hành đã bị giảm bớt; xấu hổ,(âm nhạc) khoảng năm phút
seizure,'si:ʤə,"sự chiếm lấy, sự chiếm đoạt, sự cướp lấy, sự nắm lấy","sự tóm, sự bắt",sự kẹt (máy)
probate,probate,(pháp lý) sự nhận thực một di chúc,bản sao di chúc có chứng thực,thuế di sản
